AT1G51820	LRR-RLKs_down_PTI_LFC_-5.935654809
AT2G19190	LRR-RLKs_down_PTI_LFC_-5.404993937
AT1G17750	LRR-RLKs_down_PTI_LFC_-4.811598012
AT1G55610	LRR-RLKs_down_PTI_LFC_-4.579798324
AT1G51890	LRR-RLKs_down_PTI_LFC_-4.53670138
AT1G74360	LRR-RLKs_down_PTI_LFC_-4.518965044
AT1G73080	LRR-RLKs_down_PTI_LFC_-3.813157373
AT3G13380	LRR-RLKs_down_PTI_LFC_-3.714196441
AT1G56140	LRR-RLKs_down_PTI_LFC_-3.68955385
AT1G51800	LRR-RLKs_down_PTI_LFC_-3.399776857
AT1G51860	LRR-RLKs_down_PTI_LFC_-3.266612592
AT5G25930	LRR-RLKs_down_PTI_LFC_-3.141519067
AT1G09970	LRR-RLKs_down_PTI_LFC_-3.05214534
AT1G51850	LRR-RLKs_down_PTI_LFC_-2.84155134
AT5G48380	LRR-RLKs_down_PTI_LFC_-2.834111883
AT1G53440	LRR-RLKs_down_PTI_LFC_-2.82854752
AT4G33430	LRR-RLKs_down_PTI_LFC_-2.796542246
AT4G39270	LRR-RLKs_down_PTI_LFC_-2.772750275
AT1G56145	LRR-RLKs_down_PTI_LFC_-2.770009201
AT4G28490	LRR-RLKs_down_PTI_LFC_-2.617616945
AT5G41180	LRR-RLKs_down_PTI_LFC_-2.585478359
AT2G13790	LRR-RLKs_down_PTI_LFC_-2.561745165
AT3G02880	LRR-RLKs_down_PTI_LFC_-2.494173566
AT5G01950	LRR-RLKs_down_PTI_LFC_-2.430566391
AT5G45840	LRR-RLKs_down_PTI_LFC_-2.372745454
AT5G46330	LRR-RLKs_down_PTI_LFC_-2.317048114
AT2G02220	LRR-RLKs_down_PTI_LFC_-2.288947157
AT3G14840	LRR-RLKs_down_PTI_LFC_-2.281300073
AT1G34420	LRR-RLKs_down_PTI_LFC_-2.246015539
AT1G53430	LRR-RLKs_down_PTI_LFC_-2.156446248
AT5G20480	LRR-RLKs_down_PTI_LFC_-2.083058722
AT1G35710	LRR-RLKs_down_PTI_LFC_-2.058877262
AT1G51790	LRR-RLKs_down_PTI_LFC_-1.982711456
AT1G56130	LRR-RLKs_down_PTI_LFC_-1.85926569
AT4G20140	LRR-RLKs_down_PTI_LFC_-1.834463553
AT1G08590	LRR-RLKs_down_PTI_LFC_-1.805417603
AT1G29750	LRR-RLKs_down_PTI_LFC_-1.636873469
AT4G36180	LRR-RLKs_down_PTI_LFC_-1.614695399
AT3G47090	LRR-RLKs_down_PTI_LFC_-1.598088006
AT2G23300	LRR-RLKs_down_PTI_LFC_-1.593140187
