AT5G51060	Rboh_down_PTI_-6.196563265
AT1G51820	LRR-RLKs_down_PTI_-5.935654809
AT5G48410	GLRs_down_PTI_-5.866501207
AT5G67080	MAPKKK_down_PTI_-5.864060267
AT3G17690	GNGCs_down_PTI_-5.768033627
AT3G24982	LRR-RLPs_down_PTI_-5.494025321
AT4G39030	SA_PIP_biosynthesis_down_PTI_-5.443387589
AT2G33020	LRR-RLPs_down_PTI_-5.435832663
AT2G19190	LRR-RLKs_down_PTI_-5.404993937
AT5G27060	LRR-RLPs_down_PTI_-5.364692381
AT5G48400	GLRs_down_PTI_-5.311572088
AT5G13320	SA_PIP_biosynthesis_down_PTI_-4.88858196
AT1G17750	LRR-RLKs_down_PTI_-4.811598012
AT1G19250	SA_PIP_biosynthesis_down_PTI_-4.780691408
AT4G34390	G-proteins_down_PTI_-4.750498013
AT1G74710	SA_PIP_biosynthesis_down_PTI_-4.746015916
AT1G55610	LRR-RLKs_down_PTI_-4.579798324
AT1G51890	LRR-RLKs_down_PTI_-4.53670138
AT1G74360	LRR-RLKs_down_PTI_-4.518965044
AT2G26290	RLCK-VII_down_PTI_-4.424634563
AT5G11210	GLRs_down_PTI_-4.261163716
AT3G05360	LRR-RLPs_down_PTI_-3.872801813
AT1G73080	LRR-RLKs_down_PTI_-3.813157373
AT1G47890	LRR-RLPs_down_PTI_-3.80741756
AT1G72540	RLCK-VII_down_PTI_-3.746734743
AT3G13380	LRR-RLKs_down_PTI_-3.714196441
AT1G56140	LRR-RLKs_down_PTI_-3.68955385
AT1G01560	MAPK_down_PTI_-3.680190363
AT2G25440	LRR-RLPs_down_PTI_-3.631403168
AT2G15040	LRR-RLPs_down_PTI_-3.45095582
AT5G39610	Photosynthesis _down_PTI_-3.442603275
AT5G25910	LRR-RLPs_down_PTI_-3.404609871
AT1G51800	LRR-RLKs_down_PTI_-3.399776857
AT1G76040	CPKs_CRKs_down_PTI_-3.387656496
AT1G05100	MAPKKK_down_PTI_-3.375734741
AT1G51860	LRR-RLKs_down_PTI_-3.266612592
AT5G35580	RLCK-VII_down_PTI_-3.21769196
AT1G76360	RLCK-VII_down_PTI_-3.171806065
AT2G29100	GLRs_down_PTI_-3.168414413
AT5G25930	LRR-RLKs_down_PTI_-3.141519067
AT2G39660	RLCK-VII_down_PTI_-3.101204999
AT1G71390	LRR-RLPs_down_PTI_-3.065868953
AT1G09970	LRR-RLKs_down_PTI_-3.05214534
AT4G36950	MAPKKK_down_PTI_-2.93155438
AT5G47910	Rboh_down_PTI_-2.86903919
AT5G66850	MAPKKK_down_PTI_-2.842998854
AT1G51850	LRR-RLKs_down_PTI_-2.84155134
AT5G48380	LRR-RLKs_down_PTI_-2.834111883
AT1G53440	LRR-RLKs_down_PTI_-2.82854752
AT4G33430	LRR-RLKs_down_PTI_-2.796542246
AT2G25470	LRR-RLPs_down_PTI_-2.788450784
AT4G39270	LRR-RLKs_down_PTI_-2.772750275
AT1G56145	LRR-RLKs_down_PTI_-2.770009201
AT2G29110	GLRs_down_PTI_-2.739934258
AT1G14370	RLCK-VII_down_PTI_-2.698387684
AT1G18890	CPKs_CRKs_down_PTI_-2.685229721
AT1G54960	MAPKKK_down_PTI_-2.681511731
