AT4G22130	LRR-RLKs_up_PTI_1.010666475
AT2G01950	LRR-RLKs_up_PTI_1.079549216
AT1G28440	LRR-RLKs_up_PTI_1.101786554
AT4G27440	Photosynthesis _up_PTI_1.145105894
AT5G01530	Photosynthesis _up_PTI_1.15345456
AT1G51805	LRR-RLKs_up_PTI_1.154557648
AT5G59660	LRR-RLKs_up_PTI_1.162296798
AT5G59670	LRR-RLKs_up_PTI_1.228220958
AT5G15410	GNGCs_up_PTI_1.240293505
AT5G11260	Photosynthesis _up_PTI_1.247577279
AT1G31420	LRR-RLKs_up_PTI_1.255051318
AT3G25560	LRR-RLKs_up_PTI_1.263276704
AT2G26730	LRR-RLKs_up_PTI_1.268612134
AT5G59650	LRR-RLKs_up_PTI_1.28991808
AT1G27190	LRR-RLKs_up_PTI_1.30569005
AT1G75820	LRR-RLKs_up_PTI_1.323544145
AT4G23750	Photosynthesis _up_PTI_1.328940932
AT2G35620	LRR-RLKs_up_PTI_1.335392572
AT3G50530	CPKs_CRKs_up_PTI_1.398381349
AT5G56040	LRR-RLKs_up_PTI_1.408124735
AT2G20570	Photosynthesis _up_PTI_1.43277089
AT5G59680	LRR-RLKs_up_PTI_1.435277615
AT2G41140	CPKs_CRKs_up_PTI_1.474769552
AT4G03280	Photosynthesis _up_PTI_1.476489779
AT2G40100	Photosynthesis _up_PTI_1.484448593
AT2G32400	GLRs_up_PTI_1.486516086
AT1G65380	LRR-RLPs_up_PTI_1.49903258
AT2G34420	Photosynthesis _up_PTI_1.510757584
AT1G56120	LRR-RLKs_up_PTI_1.513832281
AT3G19300	LRR-RLKs_up_PTI_1.528232383
AT1G31330	Photosynthesis _up_PTI_1.537723511
AT1G68400	LRR-RLKs_up_PTI_1.540284651
AT1G10850	LRR-RLKs_up_PTI_1.54902404
AT3G51480	GLRs_up_PTI_1.572711362
AT1G29720	LRR-RLKs_up_PTI_1.580013083
AT1G66150	LRR-RLKs_up_PTI_1.595167851
AT5G54250	GNGCs_up_PTI_1.619871981
AT5G49290	LRR-RLPs_up_PTI_1.6289904
AT3G03770	LRR-RLKs_up_PTI_1.636453763
AT1G11130	LRR-RLKs_up_PTI_1.706382144
AT5G65830	LRR-RLPs_up_PTI_1.777568181
AT2G36570	LRR-RLKs_up_PTI_1.785158069
AT5G62710	LRR-RLKs_up_PTI_1.797884786
AT5G63410	LRR-RLKs_up_PTI_1.817406187
AT4G26540	LRR-RLKs_up_PTI_1.828458166
AT2G20260	Photosynthesis _up_PTI_1.841517695
AT5G65700	LRR-RLKs_up_PTI_1.891964982
AT1G49730	LRR-RLKs_up_PTI_1.904992057
AT5G54190	Photosynthesis _up_PTI_1.919870582
AT4G35290	GLRs_up_PTI_1.923219063
AT1G12460	LRR-RLKs_up_PTI_1.972405474
AT5G14210	LRR-RLKs_up_PTI_2.061703808
AT3G51740	LRR-RLKs_up_PTI_2.076127023
AT4G28750	Photosynthesis _up_PTI_2.143839632
AT2G41820	LRR-RLKs_up_PTI_2.166125579
AT2G27060	LRR-RLKs_up_PTI_2.178217141
AT3G61470	Photosynthesis _up_PTI_2.178367679
AT1G48480	LRR-RLKs_up_PTI_2.237468238
AT4G22730	LRR-RLKs_up_PTI_2.282384475
AT1G34210	LRR-RLKs_up_PTI_2.290428896
AT1G17250	LRR-RLPs_up_PTI_2.297331182
AT5G13630	Photosynthesis _up_PTI_2.317268485
AT2G05100	Photosynthesis _up_PTI_2.344946701
AT3G46370	LRR-RLKs_up_PTI_2.383532868
AT3G17840	LRR-RLKs_up_PTI_2.386391723
AT2G33050	LRR-RLPs_up_PTI_2.424972802
AT3G54890	Photosynthesis _up_PTI_2.534888533
AT3G56370	LRR-RLKs_up_PTI_2.535637597
AT5G62230	LRR-RLKs_up_PTI_2.564424654
AT3G47470	Photosynthesis _up_PTI_2.575298164
AT3G28040	LRR-RLKs_up_PTI_2.597376471
AT2G42290	LRR-RLKs_up_PTI_2.609125253
AT1G61520	Photosynthesis _up_PTI_2.690541987
AT1G29920	Photosynthesis _up_PTI_2.734959531
AT5G16590	LRR-RLKs_up_PTI_2.738825662
AT2G26330	LRR-RLKs_up_PTI_2.76798624
AT4G23740	LRR-RLKs_up_PTI_2.823949591
AT5G54270	Photosynthesis _up_PTI_2.834848904
AT1G49580	CPKs_CRKs_up_PTI_2.860611043
AT1G15820	Photosynthesis _up_PTI_2.895620458
AT1G03630	Photosynthesis _up_PTI_2.91085485
AT1G60800	LRR-RLKs_up_PTI_2.931827385
AT5G67200	LRR-RLKs_up_PTI_2.949402504
AT2G05070	Photosynthesis _up_PTI_3.120547638
AT4G10340	Photosynthesis _up_PTI_3.129196694
AT5G44190	Photosynthesis _up_PTI_3.137001804
AT1G29910	Photosynthesis _up_PTI_3.19687828
AT2G45340	LRR-RLKs_up_PTI_3.347514411
AT5G51560	LRR-RLKs_up_PTI_3.541546722
AT4G26150	Photosynthesis _up_PTI_3.598319244
AT3G08940	Photosynthesis _up_PTI_3.61607285
AT4G20940	LRR-RLKs_up_PTI_3.658001779
AT4G34220	LRR-RLKs_up_PTI_3.930123903
AT3G49670	LRR-RLKs_up_PTI_4.005539664
AT1G20650	RLCK-VII_up_PTI_4.007967209
AT2G02780	LRR-RLKs_up_PTI_4.1178226
AT3G59400	Photosynthesis _up_PTI_4.175521683
AT5G56860	Photosynthesis _up_PTI_4.265528343
AT3G57830	LRR-RLKs_up_PTI_4.307015773
AT5G16000	LRR-RLKs_up_PTI_4.504774067
AT5G07180	LRR-RLKs_up_PTI_4.96672383
AT3G27690	Photosynthesis _up_PTI_5.64472653
