gene_id	length
AT1G01010	1688
AT1G01020	3847
AT1G01030	1905
AT1G01040	5984
AT1G01046	208
AT1G01050	1187
AT1G01060	2836
AT1G01070	1692
AT1G01080	1362
AT1G01090	1896
AT1G01100	601
AT1G01110	2113
AT1G01120	2052
AT1G01130	375
AT1G01140	1849
AT1G01150	1382
AT1G01160	1129
AT1G01170	515
AT1G01180	2147
AT1G01183	111
AT1G01190	1751
AT1G01200	1207
AT1G01210	624
AT1G01220	3596
AT1G01225	1077
AT1G01230	876
AT1G01240	1497
AT1G01250	891
AT1G01260	2709
AT1G01270	72
AT1G01280	1602
AT1G01290	2021
AT1G01300	2062
AT1G01305	617
AT1G01310	977
AT1G01320	6022
AT1G01340	2550
AT1G01350	1434
AT1G01355	799
AT1G01360	1179
AT1G01370	1376
AT1G01380	750
AT1G01390	1831
AT1G01400	1145
AT1G01410	1086
AT1G01420	1687
AT1G01430	2134
AT1G01440	2830
AT1G01448	2386
AT1G01450	1413
AT1G01453	1471
AT1G01460	1837
AT1G01470	1348
AT1G01480	2002
AT1G01490	1562
AT1G01500	1782
AT1G01510	2642
AT1G01520	1349
AT1G01530	758
AT1G01540	2158
AT1G01550	1572
AT1G01560	1595
AT1G01570	1644
AT1G01580	2637
AT1G01590	2624
AT1G01600	2323
AT1G01610	1916
AT1G01620	1549
AT1G01630	1479
AT1G01640	1126
AT1G01650	2229
AT1G01660	1802
AT1G01670	1607
AT1G01680	1187
AT1G01690	1818
AT1G01695	1658
AT1G01700	1839
AT1G01710	1709
AT1G01720	1653
AT1G01725	537
AT1G01730	1197
AT1G01740	1779
AT1G01750	947
AT1G01760	1463
AT1G01770	2539
AT1G01780	939
AT1G01790	4261
AT1G01800	1236
AT1G01810	653
AT1G01820	1378
AT1G01830	2598
AT1G01840	822
AT1G01860	1373
AT1G01870	73
AT1G01880	2107
AT1G01890	153
AT1G01900	2607
AT1G01910	1553
AT1G01920	1896
AT1G01930	2101
AT1G01940	877
AT1G01950	3058
AT1G01960	5825
AT1G01970	1710
AT1G01980	1933
AT1G01990	1483
AT1G02000	2088
AT1G02010	2803
AT1G02020	4562
AT1G02030	2135
AT1G02040	1211
AT1G02050	1563
AT1G02060	2225
AT1G02065	1712
AT1G02070	789
AT1G02080	7527
AT1G02090	1225
AT1G02100	1354
AT1G02110	2474
AT1G02120	2150
AT1G02130	1110
AT1G02136	192
AT1G02140	875
AT1G02145	1657
AT1G02150	2042
AT1G02160	602
AT1G02170	1451
AT1G02180	922
AT1G02190	2195
AT1G02205	2388
AT1G02210	264
AT1G02220	1590
AT1G02228	789
AT1G02230	1436
AT1G02250	1180
AT1G02260	2482
AT1G02270	1737
AT1G02280	1214
AT1G02290	1767
AT1G02300	1501
AT1G02305	1407
AT1G02310	1525
AT1G02320	147
AT1G02330	1193
AT1G02335	990
AT1G02340	1391
AT1G02350	555
AT1G02360	1294
AT1G02370	1986
AT1G02380	1317
AT1G02390	2074
AT1G02400	1414
AT1G02405	754
AT1G02410	1294
AT1G02420	1910
AT1G02430	968
AT1G02440	649
AT1G02450	623
AT1G02460	2079
AT1G02470	762
AT1G02475	1091
AT1G02480	73
AT1G02490	298
AT1G02500	1748
AT1G02510	1086
AT1G02520	4310
AT1G02530	4114
AT1G02540	873
AT1G02550	729
AT1G02560	1479
AT1G02570	1010
AT1G02575	1047
AT1G02580	2341
AT1G02590	270
AT1G02600	72
AT1G02610	1126
AT1G02620	1567
AT1G02630	1783
AT1G02640	2773
AT1G02650	1824
AT1G02660	2842
AT1G02670	2394
AT1G02680	907
AT1G02681	622
AT1G02690	2048
AT1G02700	1356
AT1G02710	291
AT1G02720	1947
AT1G02730	3925
AT1G02740	1566
AT1G02750	1103
AT1G02760	73
AT1G02770	1233
AT1G02780	1109
AT1G02790	1686
AT1G02800	1823
AT1G02810	2132
AT1G02813	652
AT1G02816	1602
AT1G02820	816
AT1G02830	445
AT1G02840	1517
AT1G02850	1965
AT1G02860	1517
AT1G02870	847
AT1G02880	1533
AT1G02890	4233
AT1G02900	854
AT1G02910	1634
AT1G02920	1213
AT1G02930	1186
AT1G02940	829
AT1G02950	929
AT1G02952	422
AT1G02960	1757
AT1G02965	489
AT1G02970	1897
AT1G02980	2488
AT1G02990	4449
AT1G03000	3295
AT1G03010	2511
AT1G03020	673
AT1G03030	1523
AT1G03040	1573
AT1G03050	2222
AT1G03055	973
AT1G03060	11966
AT1G03070	1132
AT1G03080	6005
AT1G03090	2741
AT1G03100	2817
AT1G03103	640
AT1G03106	934
AT1G03110	1577
AT1G03120	629
AT1G03130	1584
AT1G03140	1553
AT1G03150	809
AT1G03160	2940
AT1G03170	2309
AT1G03180	1166
AT1G03190	2613
AT1G03200	665
AT1G03210	1011
AT1G03220	1891
AT1G03230	1870
AT1G03240	547
AT1G03250	1217
AT1G03260	1443
AT1G03270	1765
AT1G03280	1966
AT1G03290	4386
AT1G03300	2013
AT1G03310	3252
AT1G03320	780
AT1G03330	775
AT1G03340	1507
AT1G03350	1829
AT1G03360	1325
AT1G03365	3048
AT1G03370	3896
AT1G03380	4183
AT1G03390	1386
AT1G03400	1385
AT1G03410	2652
AT1G03420	1076
AT1G03430	1226
AT1G03440	2147
AT1G03445	2727
AT1G03457	2017
AT1G03470	1359
AT1G03475	1743
AT1G03490	846
AT1G03495	1311
AT1G03502	114
AT1G03506	161
AT1G03510	1470
AT1G03515	72
AT1G03520	2137
AT1G03530	2921
AT1G03540	1929
AT1G03550	2396
AT1G03545	1289
AT1G03560	2338
AT1G03570	72
AT1G03580	1065
AT1G03590	2219
AT1G03600	1315
AT1G03610	1897
AT1G03620	1807
AT1G03630	1787
AT1G03650	899
AT1G03660	1019
AT1G03670	1851
AT1G03680	957
AT1G03687	1455
AT1G03700	837
AT1G03710	997
AT1G03720	825
AT1G03730	1271
AT1G03740	3194
AT1G03743	81
AT1G03746	85
AT1G03750	2777
AT1G03760	1382
AT1G03770	1858
AT1G03780	2562
AT1G03790	1855
AT1G03800	1280
AT1G03810	432
AT1G03820	1127
AT1G03830	3654
AT1G03840	1923
AT1G03850	1254
AT1G03860	1398
AT1G03870	1214
AT1G03880	1633
AT1G03890	1520
AT1G03900	1239
AT1G03905	1346
AT1G03910	2658
AT1G03920	2237
AT1G03930	2419
AT1G03935	87
AT1G03940	1918
AT1G03950	1023
AT1G03960	2422
AT1G03970	1190
AT1G03980	1196
AT1G03982	1290
AT1G03990	2384
AT1G04000	1267
AT1G04010	2669
AT1G04020	2476
AT1G04030	1854
AT1G04040	1086
AT1G04050	2855
AT1G04070	690
AT1G04080	2963
AT1G04090	2110
AT1G04100	1308
AT1G04110	2513
AT1G04120	5620
AT1G04130	1468
AT1G04140	3138
AT1G04150	3408
AT1G04160	5192
AT1G04170	1860
AT1G04180	1649
AT1G04190	1418
AT1G04200	2760
AT1G04210	4016
AT1G04220	2044
AT1G04230	1999
AT1G04240	1327
AT1G04250	1317
AT1G04260	1326
AT1G04270	923
AT1G04280	2567
AT1G04290	1073
AT1G04295	552
AT1G04300	3625
AT1G04310	2652
AT1G04320	71
AT1G04330	694
AT1G04340	1044
AT1G04350	2066
AT1G04360	1747
AT1G04370	736
AT1G04380	1528
AT1G04390	3466
AT1G04400	2684
AT1G04410	1613
AT1G04420	1539
AT1G04425	457
AT1G04430	2593
AT1G04440	2407
AT1G04445	596
AT1G04450	1057
AT1G04457	231
AT1G04470	3611
AT1G04480	822
AT1G04490	1663
AT1G04500	1698
AT1G04510	2193
AT1G04520	1569
AT1G04530	1524
AT1G04540	2446
AT1G04550	1355
AT1G04555	991
AT1G04560	855
AT1G04570	2163
AT1G04580	4604
AT1G04590	1396
AT1G04600	5766
AT1G04610	1774
AT1G04620	2222
AT1G04625	1019
AT1G04630	745
AT1G04635	810
AT1G04640	994
AT1G04645	494
AT1G04650	3380
AT1G04660	1406
AT1G04670	763
AT1G04680	2074
AT1G04690	1609
AT1G04700	4082
AT1G04710	1672
AT1G04720	75
AT1G04730	3201
AT1G04750	1276
AT1G04760	1297
AT1G04770	1284
AT1G04778	848
AT1G04780	3161
AT1G04790	2751
AT1G04800	1027
AT1G04810	3435
AT1G04820	1971
AT1G04830	1763
AT1G04840	2703
AT1G04850	1764
AT1G04860	3438
AT1G04870	1628
AT1G04880	1767
AT1G04890	2023
AT1G04900	1734
AT1G04910	2149
AT1G04920	3626
AT1G04930	1478
AT1G04945	2606
AT1G04940	1198
AT1G04950	2255
AT1G04960	1763
AT1G04970	1791
AT1G04980	1667
AT1G04985	1582
AT1G04990	1939
AT1G05000	1341
AT1G05010	1529
AT1G05020	2609
AT1G05030	2399
AT1G05040	829
AT1G05055	1597
AT1G05060	1029
AT1G05061	2278
AT1G05065	717
AT1G05070	992
AT1G05080	1320
AT1G05085	375
AT1G05090	1514
AT1G05100	1341
AT1G05120	3025
AT1G05135	884
AT1G05136	141
AT1G05140	1514
AT1G05150	2961
AT1G05160	2241
AT1G05170	2027
AT1G05180	2044
AT1G05190	1051
AT1G05200	3388
AT1G05205	617
AT1G05210	770
AT1G05220	717
AT1G05230	3575
AT1G05240	2478
AT1G05250	1492
AT1G05260	1254
AT1G05270	1743
AT1G05280	1913
AT1G05290	1126
AT1G05291	724
AT1G05300	1554
AT1G05310	1447
AT1G05320	2798
AT1G05330	688
AT1G05340	791
AT1G05350	1913
AT1G05360	1806
AT1G05370	1714
AT1G05380	4173
AT1G05385	788
AT1G05390	74
AT1G05400	996
AT1G05410	1758
AT1G05420	975
AT1G05430	1176
AT1G05440	1619
AT1G05450	874
AT1G05460	3382
AT1G05470	2988
AT1G05490	4735
AT1G05500	2211
AT1G05510	980
AT1G05520	2944
AT1G05530	1666
AT1G05540	1401
AT1G05550	1597
AT1G05560	2128
AT1G05570	6536
AT1G05575	710
AT1G05577	1520
AT1G05580	2972
AT1G05590	2331
AT1G05600	1795
AT1G05610	1608
AT1G05615	519
AT1G05620	1557
AT1G05630	3982
AT1G05640	2338
AT1G05650	1500
AT1G05660	1534
AT1G05670	3313
AT1G05675	1493
AT1G05680	1755
AT1G05690	1948
AT1G05700	2880
AT1G05710	1352
AT1G05720	840
AT1G05730	1430
AT1G05740	519
